day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,price_diff,price_diff_pct,future_diff
-2,0,TOMATOES,4993,7,4992,17,,,5007,7,5008,17,,,5000.0,0.0,,,6.0
-1,0,TOMATOES,4999,5,4998,15,,,5013,5,5014,15,,,5006.0,0.0,6.0,0.0012000000000000899,0.5
-1,100,TOMATOES,5000,8,4998,21,,,5013,8,5014,21,,,5006.5,0.0,0.5,9.988014382744659e-05,-4.0
-2,100,TOMATOES,4998,5,4993,7,4992.0,16.0,5007,7,5008,16,,,5002.5,0.0,-4.0,-0.000798961350244709,-1.5
-2,200,TOMATOES,4994,6,4993,20,,,5008,6,5009,20,,,5001.0,0.0,-1.5,-0.00029985007496247107,5.5
-1,200,TOMATOES,5000,10,4999,20,,,5013,10,5015,20,,,5006.5,0.0,5.5,0.0010997800439911387,-5.0
-2,300,TOMATOES,4995,5,4993,21,,,5008,5,5009,21,,,5001.5,0.0,-5.0,-0.000998701687805803,5.5
-1,300,TOMATOES,5000,9,4999,21,,,5014,9,5015,21,,,5007.0,0.0,5.5,0.0010996700989702735,-5.5
-2,400,TOMATOES,4995,8,4993,20,,,5008,8,5009,20,,,5001.5,0.0,-5.5,-0.001098462152985813,5.5
-1,400,TOMATOES,5000,5,4999,20,,,5014,5,5015,20,,,5007.0,0.0,5.5,0.0010996700989702735,0.0
-1,500,TOMATOES,5000,6,4999,25,,,5014,6,5015,25,,,5007.0,0.0,0.0,0.0,-6.0
-2,500,TOMATOES,4994,6,4993,16,,,5008,6,5009,16,,,5001.0,0.0,-6.0,-0.0011983223487117556,8.5
-1,600,TOMATOES,5005,5,5000,8,4999.0,25.0,5014,8,5015,25,,,5009.5,0.0,8.5,0.001699660067986386,-9.0
-2,600,TOMATOES,4994,9,4992,16,,,5007,9,5008,16,,,5000.5,0.0,-9.0,-0.001796586485677265,6.5
-1,700,TOMATOES,5000,10,4999,18,,,5014,10,5015,18,,,5007.0,0.0,6.5,0.001299870012998694,-7.0
-2,700,TOMATOES,4993,5,4992,17,,,5007,5,5008,17,,,5000.0,0.0,-7.0,-0.0013980427401637519,6.5
-1,800,TOMATOES,5000,8,4998,15,,,5013,8,5014,15,,,5006.5,0.0,6.5,0.0013000000000000789,-6.5
-2,800,TOMATOES,4993,6,4992,23,,,5007,6,5008,23,,,5000.0,0.0,-6.5,-0.001298312194147555,6.5
-1,900,TOMATOES,5000,6,4998,23,,,5013,6,5015,23,,,5006.5,0.0,6.5,0.0013000000000000789,-5.5
-2,900,TOMATOES,4994,5,4993,24,,,5008,5,5009,24,,,5001.0,0.0,-5.5,-0.001098571856586461,6.0
